4021r	32501f	85.7	100	1	59	100	39	97	93.22	5e-17	+
32501f	37485f	93.7	100	97	31	100	34	100	92.54	2e-19	-
3811f	51201r	168	100	97	5	100	1	93	97.85	5e-42	-
4021f	51201f	125	100	75	1	100	1	75	96	6e-29	-
5955r	51201f	95.6	100	37	100	100	1	64	93.75	6e-20	+
20011f	51737r	141	100	1	91	100	10	100	94.51	1e-33	+
33603r	52238f	151	100	100	9	100	8	100	95.7	1e-36	-
33603r	52238r	129	100	1	77	100	23	100	96.15	4e-30	+
33603r	52468r	147	100	100	11	100	11	100	95.56	2e-35	-
52468r	52238r	101	100	100	34	100	33	100	94.12	9e-22	-
51201f	54681r	113	100	8	88	100	3	84	92.77	2e-25	+
20011f	61064r	109	100	46	100	100	4	58	100	4e-24	+
4021f	65932f	91.7	100	1	66	100	34	100	92.65	9e-19	+
51201f	65932f	117	100	88	10	100	21	100	93.83	2e-26	-
20011f	69551f	170	100	100	3	100	3	100	96.94	1e-42	-
51201f	69094r	111	100	12	87	100	24	100	93.59	1e-24	+
54681f	69094f	141	100	14	100	100	1	87	95.4	1e-33	+
20011f	80173r	131	100	100	27	100	27	100	97.3	1e-30	-
54681f	80173f	91.7	100	100	43	100	41	98	94.83	9e-19	-
69551f	80173r	143	100	1	76	100	25	100	98.68	3e-34	+
7328r	85470r	172	100	100	10	100	10	100	98.9	3e-43	-
20011f	87255f	135	100	80	1	100	1	80	96.25	7e-32	-
69551f	87255f	139	100	23	100	100	1	78	97.44	4e-33	+
7328r	89785f	91.7	100	67	1	100	22	87	92.65	9e-19	-
7328r	90069f	165	100	1	91	100	10	100	97.8	7e-41	+
32501f	90904f	117	100	1	67	100	34	100	97.01	2e-26	+
33603r	89785f	89.7	100	44	100	100	1	57	94.83	4e-18	+
33603r	90904r	167	100	100	9	100	9	100	97.83	2e-41	-
52238r	90904r	97.6	100	100	31	100	32	100	92.86	1e-20	-
52468r	89785f	109	100	67	1	100	1	67	95.52	4e-24	-
52468r	90904r	147	100	3	100	100	1	98	93.88	2e-35	+
4021f	94353r	101	100	59	1	100	1	59	96.61	9e-22	-
20011f	94353f	113	100	40	100	100	1	61	98.36	2e-25	+
51201f	94353r	137	100	20	100	100	4	84	96.3	2e-32	+
69551f	94353f	117	100	63	1	100	1	63	98.41	2e-26	-
80173r	94353f	165	100	87	1	100	1	87	98.85	7e-41	-
51201f	99187r	119	100	68	1	100	1	68	97.06	4e-27	-
95076f	99187f	145	100	8	100	100	5	97	94.62	7e-35	+
94302r	109368r	161	100	93	1	100	1	93	96.77	1e-39	-
99634r	109368r	123	100	31	100	100	1	70	97.14	3e-28	+
5955r	111831f	111	100	68	1	100	1	68	95.59	1e-24	-
7328r	111831f	117	100	1	63	100	35	97	98.41	2e-26	+
21199r	111831f	155	100	11	100	100	1	90	96.67	7e-38	+
26079f	111626f	87.7	100	17	76	100	1	60	93.33	1e-17	+
26079f	111831f	121	100	65	1	100	1	65	98.46	1e-27	-
61064f	111831f	155	100	84	3	100	16	97	98.78	7e-38	-
65932r	111831f	113	100	100	36	100	33	97	96.92	2e-25	-
89785f	111831f	117	100	100	26	100	22	97	94.81	2e-26	-
90069f	111831f	117	100	2	72	100	27	97	95.77	2e-26	+
99187r	111626f	87.7	100	85	26	100	1	60	93.33	1e-17	-
99187r	111831f	119	100	37	100	100	1	64	98.44	4e-27	+
3117r	120463r	137	100	81	1	100	1	82	96.39	2e-32	-
7328r	120463r	143	100	25	100	100	1	76	98.68	3e-34	+
65932r	120463r	139	100	74	1	100	1	74	98.65	4e-33	-
85470r	120463r	161	100	85	1	100	1	85	98.82	1e-39	-
90069f	120463r	125	100	34	100	100	1	67	98.51	6e-29	+
4021f	128326f	131	100	19	100	100	2	84	95.18	1e-30	+
4021r	128701f	105	100	2	70	100	32	100	94.2	6e-23	+
5955r	128326f	137	100	93	1	100	2	95	93.62	2e-32	-
21199r	128326f	125	100	1	83	100	18	100	93.98	6e-29	+
26079f	128326f	147	100	90	1	100	2	92	95.6	2e-35	-
32501f	128701f	167	100	9	100	100	1	92	97.83	2e-41	+
37485f	128701f	107	100	100	23	100	23	100	92.31	1e-23	-
61064f	128326f	91.7	100	84	27	100	43	100	94.83	9e-19	-
69094r	128326f	125	100	71	1	100	1	71	97.18	6e-29	-
90904f	128701f	85.7	100	42	100	100	1	59	93.22	5e-17	+
99187r	128326f	145	100	12	100	100	2	91	95.56	7e-35	+
111626f	128326f	71.9	100	60	1	100	17	76	90	8e-13	-
111831f	128326f	129	100	1	73	100	28	100	97.26	4e-30	+
20011r	136228r	131	100	1	81	100	20	100	95.06	1e-30	+
26079r	136228r	111	100	100	41	100	41	100	98.33	1e-24	-
33603f	136228r	121	100	81	1	100	1	81	93.9	1e-27	-
51201r	136228r	131	100	100	19	100	19	100	95.12	1e-30	-
51737f	136228r	123	100	31	100	100	1	70	97.14	3e-28	+
79505f	136228r	91.7	100	62	1	100	1	63	93.65	9e-19	-
79505r	136228r	69.9	100	46	100	100	1	56	91.07	3e-12	+
89785r	136228r	93.7	100	60	1	100	5	63	95	2e-19	-
69551r	140181f	143	100	1	80	100	20	100	97.53	3e-34	+
85470f	140181f	135	100	100	8	100	9	100	93.55	7e-32	-
