123r	498f	93.7	100	20	90	100	1	71	91.55	5e-21	+
450r	438r	79.8	100	28	87	100	41	100	91.67	7e-17	+
438r	600r	87.7	100	1	72	100	28	99	90.41	3e-19	+
438r	623r	117	100	87	1	100	3	89	92.05	3e-28	-
498r	600r	107	100	1	74	100	27	100	93.24	3e-25	+
498r	623r	129	100	85	1	100	6	90	94.12	9e-32	-
92r	711f	89.7	100	100	28	100	26	98	90.41	8e-20	-
438r	654f	91.7	100	58	1	100	19	76	94.83	2e-20	-
498r	654f	85.7	100	59	1	100	19	77	93.22	1e-18	-
498r	711f	95.6	100	77	2	100	6	81	90.79	1e-21	-
623r	654f	109	100	14	100	100	1	87	90.91	8e-26	+
623r	654r	99.6	100	76	3	100	1	74	92	8e-23	-
623r	711f	127	100	13	100	100	5	92	93.18	3e-31	+
498r	904f	81.8	100	40	100	100	2	62	91.8	2e-17	+
623r	904f	125	100	98	12	100	10	96	93.18	1e-30	-
92r	1003r	121	100	89	1	100	1	89	92.13	2e-29	-
92r	1068r	93.7	100	93	23	100	19	89	91.55	5e-21	-
125f	1003r	111	100	99	16	100	13	96	91.76	2e-26	-
125f	1068r	83.8	100	99	34	100	35	100	91.04	5e-18	-
125r	1003r	103	100	1	76	100	25	100	92.21	5e-24	+
360f	1003r	101	100	2	68	100	34	100	94.03	2e-23	+
360f	1068r	145	100	2	98	100	1	97	93.81	1e-36	+
360r	1003r	123	100	90	1	100	4	93	92.22	5e-30	-
387f	1003r	85.7	100	3	61	100	42	100	93.22	1e-18	+
387r	1003r	107	100	97	16	100	15	96	91.46	3e-25	-
387r	1068r	79.8	100	97	34	100	37	100	90.62	7e-17	-
395f	1068r	89.7	100	100	28	100	27	99	90.41	8e-20	-
1003r	395r	111	100	1	68	100	33	100	95.59	2e-26	+
395r	1068r	125	100	11	100	100	1	90	92.22	1e-30	+
438f	1003r	97.6	100	36	100	100	1	65	93.85	3e-22	+
438r	1003r	127	100	100	1	100	1	100	91.09	3e-31	-
482f	1068r	85.7	100	21	91	100	1	71	90.14	1e-18	+
482r	1003r	113	100	100	20	100	20	100	92.68	5e-27	-
525f	1003r	129	100	100	8	100	8	100	92.47	9e-32	-
525f	1068r	85.7	100	100	42	100	30	88	93.22	1e-18	-
600r	1003r	129	100	100	28	100	28	100	97.26	9e-32	-
600r	1068r	103	100	86	11	100	9	84	92.11	5e-24	-
623f	1003r	133	100	95	13	100	1	83	95.18	6e-33	-
623f	1068r	109	100	100	18	100	18	100	91.57	8e-26	-
623r	1003r	149	100	3	89	100	14	100	96.55	9e-38	+
623r	1068r	91.7	100	23	96	100	1	74	90.54	2e-20	+
654r	1003r	83.8	100	100	43	100	43	100	93.1	5e-18	-
654r	1068r	109	100	92	10	100	18	100	91.57	8e-26	-
1003r	711f	79.8	100	1	64	100	37	100	90.62	7e-17	+
711r	1068r	97.6	100	99	23	100	24	100	90.91	3e-22	-
904f	1003r	115	100	96	19	100	23	100	93.67	1e-27	-
904f	1068r	113	100	70	2	100	16	84	95.65	5e-27	-
1067f	1003r	103	100	100	33	100	33	100	94.2	5e-24	-
1067r	1003r	127	100	6	97	100	7	98	92.39	3e-31	+
1068f	1003r	91.7	100	100	35	100	35	100	92.42	2e-20	-
1068r	1003r	85.7	100	1	67	100	34	100	91.04	1e-18	+
92f	1198r	111	100	17	100	100	4	87	91.67	2e-26	+
92r	1198r	79.8	100	100	45	100	37	92	92.86	7e-17	-
125f	1198r	111	100	99	16	100	5	88	91.76	2e-26	-
125r	1198r	81.8	100	44	100	100	5	61	93.1	2e-17	+
360f	1198r	117	100	2	72	100	26	96	95.77	3e-28	+
360r	1198r	105	100	85	1	100	1	85	90.59	1e-24	-
387f	1198r	73.8	100	1	61	100	32	92	90.16	4e-15	+
395f	1198r	111	100	92	1	100	5	96	90.22	2e-26	-
1198r	395r	111	100	1	60	100	41	100	98.33	2e-26	+
1198r	438f	81.8	100	1	57	100	44	100	92.98	2e-17	+
482f	1198r	109	100	1	91	100	6	96	90.22	8e-26	+
482r	1198r	121	100	100	16	100	12	96	92.94	2e-29	-
525f	1198r	167	100	99	4	100	1	96	96.88	4e-43	-
600r	1198r	113	100	100	24	100	20	96	93.51	5e-27	-
623f	1198r	111	100	87	16	100	1	72	94.44	2e-26	-
623r	1198r	125	100	3	93	100	6	96	92.31	1e-30	+
654r	1198r	91.7	100	100	39	100	35	96	93.55	2e-20	-
711f	1198r	91.7	100	12	81	100	23	92	91.43	2e-20	+
904f	1198r	107	100	96	15	100	15	96	91.57	3e-25	-
1003r	1137r	123	100	15	100	100	2	87	93.02	5e-30	+
1003r	1140f	103	100	100	45	100	45	100	98.21	5e-24	-
1003r	1140r	125	100	1	95	100	4	99	91.75	1e-30	+
1003r	1198r	135	100	9	100	100	1	92	93.48	1e-33	+
1068r	1137r	69.9	100	37	91	100	2	56	90.91	7e-14	+
1068r	1140f	101	100	97	18	100	16	94	91.25	2e-23	-
1068r	1198f	97.6	100	98	18	100	20	100	90.36	3e-22	-
1198r	1068r	99.6	100	1	70	100	31	100	92.86	8e-23	+
1003r	1252f	101	100	1	67	100	34	100	94.03	2e-23	+
1003r	1252r	129	100	100	20	100	20	100	95.06	9e-32	-
1003r	1283f	127	100	3	94	100	1	92	92.39	3e-31	+
1367r	1003r	101	100	3	61	100	42	100	96.61	2e-23	+
1252f	1068r	79.8	100	1	56	100	45	100	92.86	7e-17	+
1068r	1252r	79.8	100	100	45	100	42	97	92.86	7e-17	-
1068r	1367r	121	100	7	99	100	1	93	91.4	2e-29	+
1198r	1252f	101	100	1	59	100	42	100	96.61	2e-23	+
1198r	1252r	137	100	96	12	100	16	100	95.29	4e-34	-
